127.0.0.1 - - [24/Mar/2026:17:21:43 +0900] "GET / HTTP/1.1" 404 207 "-" "curl/8.5.0"
127.0.0.1 - - [24/Mar/2026:17:21:51 +0900] "POST /gsma/rsp2/es9plus/initiateAuthentication HTTP/1.1" 200 1233 "-" "gsma-rsp-lpad"
127.0.0.1 - - [24/Mar/2026:17:21:54 +0900] "POST /gsma/rsp2/es9plus/authenticateClient HTTP/1.1" 200 1303 "-" "gsma-rsp-lpad"
127.0.0.1 - - [24/Mar/2026:17:21:58 +0900] "POST /gsma/rsp2/es9plus/getBoundProfilePackage HTTP/1.1" 200 16888 "-" "gsma-rsp-lpad"
127.0.0.1 - - [24/Mar/2026:17:23:51 +0900] "POST /gsma/rsp2/es9plus/initiateAuthentication HTTP/1.1" 200 1233 "-" "gsma-rsp-lpad"
127.0.0.1 - - [24/Mar/2026:17:23:57 +0900] "POST /gsma/rsp2/es9plus/initiateAuthentication HTTP/1.1" 200 1233 "-" "gsma-rsp-lpad"
127.0.0.1 - - [24/Mar/2026:17:24:00 +0900] "POST /gsma/rsp2/es9plus/authenticateClient HTTP/1.1" 200 1303 "-" "gsma-rsp-lpad"
127.0.0.1 - - [24/Mar/2026:17:24:03 +0900] "POST /gsma/rsp2/es9plus/getBoundProfilePackage HTTP/1.1" 200 16903 "-" "gsma-rsp-lpad"
127.0.0.1 - - [24/Mar/2026:17:24:07 +0900] "POST /gsma/rsp2/es9plus/cancelSession HTTP/1.1" 200 5 "-" "gsma-rsp-lpad"
127.0.0.1 - - [24/Mar/2026:17:26:31 +0900] "POST /gsma/rsp2/es9plus/initiateAuthentication HTTP/1.1" 200 1233 "-" "gsma-rsp-lpad"
127.0.0.1 - - [24/Mar/2026:17:26:34 +0900] "POST /gsma/rsp2/es9plus/authenticateClient HTTP/1.1" 200 1303 "-" "gsma-rsp-lpad"
127.0.0.1 - - [24/Mar/2026:17:26:38 +0900] "POST /gsma/rsp2/es9plus/getBoundProfilePackage HTTP/1.1" 200 16903 "-" "gsma-rsp-lpad"
127.0.0.1 - - [24/Mar/2026:17:26:42 +0900] "POST /gsma/rsp2/es9plus/cancelSession HTTP/1.1" 200 5 "-" "gsma-rsp-lpad"
127.0.0.1 - - [24/Mar/2026:17:28:40 +0900] "POST /gsma/rsp2/es9plus/initiateAuthentication HTTP/1.1" 200 1233 "-" "gsma-rsp-lpad"
127.0.0.1 - - [24/Mar/2026:17:28:43 +0900] "POST /gsma/rsp2/es9plus/authenticateClient HTTP/1.1" 200 1303 "-" "gsma-rsp-lpad"
127.0.0.1 - - [24/Mar/2026:17:28:47 +0900] "POST /gsma/rsp2/es9plus/getBoundProfilePackage HTTP/1.1" 200 16903 "-" "gsma-rsp-lpad"
