iteration,tag,name,duration_net_us
1,BF2E,GetEuiccChallenge,4363.363
1,BF20,GetEuiccInfo1,39870.363
1,ES9P,/gsma/rsp2/es9plus/initiateAuthentication,5513.0
1,BF38,AuthenticateServer,2942417.024
1,ES9P,/gsma/rsp2/es9plus/authenticateClient,31688.0
1,BF21,PrepareDownload,3711790.585
1,ES9P,/gsma/rsp2/es9plus/getBoundProfilePackage,10777.0
1,BF36,LoadBPP_seg0,1428313.0
1,BF36,LoadBPP_seg1,63900.0
1,BF36,LoadBPP_seg2,1583.0
1,BF36,LoadBPP_seg3,93460.0
1,BF36,LoadBPP_seg4,43262.0
1,BF36,LoadBPP_seg5,1733.0
1,BF36,LoadBPP_seg6,2044440.0
1,BF36,LoadBPP_seg7,802210.0
1,BF36,LoadBPP_seg8,807311.0
1,BF36,LoadBPP_seg9,1658416.0
1,BF36,LoadBPP_seg10,629018.0
1,BF36,LoadBPP_seg11,824796.0
1,BF36,LoadBPP_seg12,1791882.0
1,BF36,LoadBPP_seg13,865305.0
1,BF36,LoadBPP_seg14,910081.0
1,BF36,LoadBPP_seg15,1924226.0
1,BF36,LoadBPP_seg16,963516.0
1,BF36,LoadBPP_seg17,4312048.0
2,BF2E,GetEuiccChallenge,4365.363
2,BF20,GetEuiccInfo1,39919.363
2,ES9P,/gsma/rsp2/es9plus/initiateAuthentication,7356.0
2,BF38,AuthenticateServer,2938333.024
2,ES9P,/gsma/rsp2/es9plus/authenticateClient,38117.0
2,BF21,PrepareDownload,3709221.585
2,ES9P,/gsma/rsp2/es9plus/getBoundProfilePackage,18886.0
2,BF36,LoadBPP_seg0,1450513.0
2,BF36,LoadBPP_seg1,88451.0
2,BF36,LoadBPP_seg2,1578.0
2,BF36,LoadBPP_seg3,92996.0
2,BF36,LoadBPP_seg4,43911.0
2,BF36,LoadBPP_seg5,1616.0
2,BF36,LoadBPP_seg6,604059.0
2,BF36,LoadBPP_seg7,2043133.0
2,BF36,LoadBPP_seg8,830998.0
2,BF36,LoadBPP_seg9,857175.0
2,BF36,LoadBPP_seg10,1390654.0
2,BF36,LoadBPP_seg11,822143.0
2,BF36,LoadBPP_seg12,849090.0
2,BF36,LoadBPP_seg13,1768613.0
2,BF36,LoadBPP_seg14,909767.0
2,BF36,LoadBPP_seg15,979367.0
2,BF36,LoadBPP_seg16,1861256.0
2,BF36,LoadBPP_seg17,4109041.0
3,BF2E,GetEuiccChallenge,4469.363
3,BF20,GetEuiccInfo1,42189.363
3,ES9P,/gsma/rsp2/es9plus/initiateAuthentication,8387.0
3,BF38,AuthenticateServer,2970060.024
3,ES9P,/gsma/rsp2/es9plus/authenticateClient,29829.0
3,BF21,PrepareDownload,3708706.585
3,ES9P,/gsma/rsp2/es9plus/getBoundProfilePackage,20801.0
3,BF36,LoadBPP_seg0,1450685.0
3,BF36,LoadBPP_seg1,60202.0
3,BF36,LoadBPP_seg2,1579.0
3,BF36,LoadBPP_seg3,92802.0
3,BF36,LoadBPP_seg4,43292.0
3,BF36,LoadBPP_seg5,1686.0
3,BF36,LoadBPP_seg6,627000.0
3,BF36,LoadBPP_seg7,2025896.0
3,BF36,LoadBPP_seg8,832596.0
3,BF36,LoadBPP_seg9,854134.0
3,BF36,LoadBPP_seg10,633532.0
3,BF36,LoadBPP_seg11,1594767.0
3,BF36,LoadBPP_seg12,819144.0
3,BF36,LoadBPP_seg13,888558.0
3,BF36,LoadBPP_seg14,1794447.0
3,BF36,LoadBPP_seg15,1006070.0
3,BF36,LoadBPP_seg16,2025320.0
3,BF36,LoadBPP_seg17,2694123.0
4,BF2E,GetEuiccChallenge,4771.363
4,BF20,GetEuiccInfo1,40334.363
4,ES9P,/gsma/rsp2/es9plus/initiateAuthentication,5008.0
4,BF38,AuthenticateServer,4538411.024
4,ES9P,/gsma/rsp2/es9plus/authenticateClient,32930.0
4,BF21,PrepareDownload,3699199.585
4,ES9P,/gsma/rsp2/es9plus/getBoundProfilePackage,11048.0
4,BF36,LoadBPP_seg0,1441691.0
4,BF36,LoadBPP_seg1,61195.0
4,BF36,LoadBPP_seg2,1718.0
4,BF36,LoadBPP_seg3,93647.0
4,BF36,LoadBPP_seg4,42506.0
4,BF36,LoadBPP_seg5,1839.0
4,BF36,LoadBPP_seg6,600368.0
4,BF36,LoadBPP_seg7,799925.0
4,BF36,LoadBPP_seg8,1724122.0
4,BF36,LoadBPP_seg9,881239.0
4,BF36,LoadBPP_seg10,633299.0
4,BF36,LoadBPP_seg11,1744171.0
4,BF36,LoadBPP_seg12,844773.0
4,BF36,LoadBPP_seg13,888980.0
4,BF36,LoadBPP_seg14,1806685.0
4,BF36,LoadBPP_seg15,980658.0
4,BF36,LoadBPP_seg16,968628.0
4,BF36,LoadBPP_seg17,3765057.0
5,BF2E,GetEuiccChallenge,4997.363
5,BF20,GetEuiccInfo1,40231.363
5,ES9P,/gsma/rsp2/es9plus/initiateAuthentication,8484.0
5,BF38,AuthenticateServer,2969245.024
5,ES9P,/gsma/rsp2/es9plus/authenticateClient,32212.0
5,BF21,PrepareDownload,3713368.585
5,ES9P,/gsma/rsp2/es9plus/getBoundProfilePackage,25314.0
5,BF36,LoadBPP_seg0,1432656.0
5,BF36,LoadBPP_seg1,63607.0
5,BF36,LoadBPP_seg2,1720.0
5,BF36,LoadBPP_seg3,92653.0
5,BF36,LoadBPP_seg4,43331.0
5,BF36,LoadBPP_seg5,1717.0
5,BF36,LoadBPP_seg6,2031570.0
5,BF36,LoadBPP_seg7,800776.0
5,BF36,LoadBPP_seg8,803778.0
5,BF36,LoadBPP_seg9,1471589.0
5,BF36,LoadBPP_seg10,633537.0
5,BF36,LoadBPP_seg11,822060.0
5,BF36,LoadBPP_seg12,1770409.0
5,BF36,LoadBPP_seg13,858683.0
5,BF36,LoadBPP_seg14,913126.0
5,BF36,LoadBPP_seg15,1906230.0
5,BF36,LoadBPP_seg16,961978.0
5,BF36,LoadBPP_seg17,3812715.0
6,BF2E,GetEuiccChallenge,4504.363
6,BF20,GetEuiccInfo1,40253.363
6,ES9P,/gsma/rsp2/es9plus/initiateAuthentication,15026.0
6,BF38,AuthenticateServer,2965304.024
6,ES9P,/gsma/rsp2/es9plus/authenticateClient,30262.0
6,BF21,PrepareDownload,3711274.585
6,ES9P,/gsma/rsp2/es9plus/getBoundProfilePackage,26950.0
6,BF36,LoadBPP_seg0,1451188.0
6,BF36,LoadBPP_seg1,63090.0
6,BF36,LoadBPP_seg2,1606.0
6,BF36,LoadBPP_seg3,92580.0
6,BF36,LoadBPP_seg4,43442.0
6,BF36,LoadBPP_seg5,1592.0
