tag,name,n_sessions,mean_net_us,median_net_us,std_net_us,ci95_half_us
BF2E,GetEuiccChallenge,176,5946.983,5863.5,288.634,42.643
BF20,GetEuiccInfo1,176,41462.17,41424.0,301.29,44.513
ES9P,/gsma/rsp2/es9plus/initiateAuthentication,176,12531.812,14084.5,4268.738,630.666
BF38,AuthenticateServer,176,3174106.705,3117160.5,288518.444,42625.876
ES9P,/gsma/rsp2/es9plus/authenticateClient,176,32427.426,32367.5,7881.003,1164.344
BF21,PrepareDownload,176,3749769.028,3749753.0,12973.175,1916.664
ES9P,/gsma/rsp2/es9plus/getBoundProfilePackage,176,21207.778,20533.0,6127.076,905.218
BF36,LoadBPP_seg0,176,1445744.278,1446697.5,9318.591,1376.734
BF36,LoadBPP_seg1,176,70472.818,62620.5,107083.766,15820.615
BF36,LoadBPP_seg2,176,1710.097,1686.0,135.719,20.051
BF36,LoadBPP_seg3,176,253689.653,93416.5,454706.339,67178.569
BF36,LoadBPP_seg4,176,231973.739,43334.0,488483.706,72168.856
BF36,LoadBPP_seg5,176,1747.136,1730.0,138.342,20.439
BF36,LoadBPP_seg6,176,885619.159,603836.5,568200.404,83946.245
BF36,LoadBPP_seg7,176,1205592.114,801585.5,612334.288,90466.61
BF36,LoadBPP_seg8,176,1082613.449,830719.0,467128.269,69013.792
BF36,LoadBPP_seg9,176,1214236.199,1158939.0,351687.676,51958.534
BF36,LoadBPP_seg10,176,824522.534,635060.0,326059.753,48172.25
BF36,LoadBPP_seg11,176,1029374.699,830221.0,341296.855,50423.388
BF36,LoadBPP_seg12,176,1089510.136,848759.5,419749.761,62014.064
BF36,LoadBPP_seg13,176,1343709.25,892984.0,485522.625,71731.384
BF36,LoadBPP_seg14,176,1131585.574,908965.0,403994.591,59686.387
BF36,LoadBPP_seg15,176,1461044.534,1447422.5,471394.726,69644.12
BF36,LoadBPP_seg16,176,1189138.182,963689.5,411160.57,60745.092
BF36,LoadBPP_seg17,176,3616106.727,3787069.0,548014.499,80963.968
