iteration,wall_time_ms
1,11256.476
2,11250.763
3,11260.804
4,11275.139
5,11227.914
6,11229.379
7,11280.362
8,11277.875
9,11243.953
10,11238.508
11,11237.391
12,11262.178
13,11261.427
14,11280.846
15,11269.554
16,11247.794
17,11231.394
18,11245.167
19,11252.657
20,11263.235
21,11290.718
22,11248.443
23,11272.490
24,11237.103
25,11235.183
26,11254.600
27,11232.252
28,11232.999
29,11231.600
30,11224.477
31,11237.008
32,11232.238
33,11252.237
34,11235.307
35,11236.204
36,11231.591
37,11274.915
38,11204.855
39,11253.603
40,11269.352
41,11248.177
42,11239.449
43,11231.903
44,11234.516
45,11270.779
46,11266.727
47,11273.590
48,11251.362
49,11234.898
50,11253.108
51,11239.063
52,11234.358
53,11235.327
54,11240.621
55,11235.009
56,11244.682
57,11225.287
58,11229.558
59,11232.951
60,11246.479
61,11243.911
62,11220.883
63,11241.554
64,11234.907
65,11231.368
66,11225.855
67,11227.911
68,11221.156
69,11228.088
70,11224.851
71,11236.690
72,11248.908
73,11240.652
74,11233.156
75,11247.800
76,11233.338
77,11236.023
78,11232.886
79,11247.416
80,11256.375
81,11264.708
82,11219.805
83,11212.202
84,11235.938
85,11239.209
86,11232.715
87,11238.861
88,11241.470
89,11241.353
90,11234.104
91,11236.856
92,11246.613
93,11282.867
94,11219.811
95,11245.788
96,11265.707
97,11222.300
98,11272.190
99,11249.485
100,11259.507
101,11277.002
102,11256.597
103,11235.868
104,11301.599
105,11255.190
106,11232.651
107,11240.704
108,11240.763
109,11252.493
110,11244.381
111,11232.110
112,11280.543
113,11293.446
114,11297.143
115,11227.587
116,11289.806
117,11272.208
118,11235.092
119,11240.154
120,11231.313
121,11232.296
122,11234.532
123,11246.874
124,11215.765
125,11235.571
126,11203.374
127,11250.331
128,11225.297
129,11222.587
130,11213.385
131,11240.107
132,11275.082
133,11239.677
134,11289.975
135,11269.912
136,11270.038
137,11259.697
138,11276.784
139,11279.027
140,11297.246
141,11242.178
142,11245.015
143,11259.319
144,11274.006
145,11278.454
146,11280.304
147,11280.845
148,11291.642
149,11275.801
150,11248.520
151,11254.867
152,11206.124
153,11227.356
154,11220.287
155,11289.727
156,11293.716
157,11283.776
158,11282.079
159,11302.900
160,11253.616
161,11282.839
162,11286.735
163,11308.504
164,11296.975
165,11267.021
166,11281.908
167,11300.740
168,11242.952
169,11229.563
170,11227.414
171,11242.451
172,11255.540
173,11257.737
174,11219.452
175,11245.037
176,11234.573
177,11248.042
178,11250.834
179,11242.724
180,11240.946
181,11247.790
182,11238.088
183,11239.582
184,11241.742
185,11231.936
186,11253.511
187,11236.826
188,11247.883
189,11233.611
190,11288.236
191,11276.248
192,11289.006
193,11275.865
194,11281.678
195,11289.003
196,11289.201
197,11239.003
198,11259.306
199,11221.813
200,11231.889
