iteration,wall_time_ms
1,11990.935
2,11976.890
3,11982.789
4,12038.066
5,12054.186
6,12041.122
7,11982.614
8,11977.631
9,11991.392
10,11990.189
11,11988.709
12,11975.557
13,11991.556
14,11986.107
15,11979.106
16,11986.064
17,11991.130
18,11980.409
19,11983.765
20,11959.434
21,12002.040
22,11973.970
23,11995.499
24,11980.382
25,11974.485
26,11976.744
27,11971.217
28,11976.115
29,11975.355
30,11971.657
31,11973.285
32,11979.612
33,11991.308
34,11988.516
35,11979.221
36,4202.298
37,4.907
38,6.475
39,3.889
40,4.117
41,4.344
42,4.148
43,4.272
44,3.534
45,3.171
46,3.161
47,3.664
48,4.959
49,3.626
50,4.570
51,7.376
52,7.365
53,4.834
54,6.440
55,6.208
56,4.940
57,5.299
58,3.774
59,4.217
60,3.598
61,5.860
62,5.212
63,4.896
64,5.841
65,3.022
66,4.434
67,3.348
68,4.544
69,4.154
70,4.401
71,3.851
72,5.497
73,3.933
74,5.130
75,6.457
76,7.174
77,5.001
78,6.730
79,6.101
80,5.427
81,5.772
82,6.678
83,4.124
84,5.891
85,6.448
86,3.835
87,3.530
88,4.067
89,3.549
90,5.480
91,3.604
92,4.921
93,9.922
94,5.487
95,6.146
96,4.506
97,6.009
98,6.097
99,5.992
100,6.328
101,5.783
102,8.563
103,7.673
104,5.339
105,5.492
106,4.555
107,3.268
108,4.994
109,5.536
110,5.635
111,7.535
112,7.151
113,5.060
114,5.711
115,6.301
116,7.042
117,4.914
118,5.122
119,11.366
120,4.407
121,5.903
122,8.563
123,7.164
124,6.248
125,4.123
126,6.528
127,4.245
128,5.372
129,4.721
130,3.933
131,6.095
132,4.211
133,6.185
134,4.631
135,4.532
136,3.248
137,4.203
138,3.017
139,3.505
140,3.866
141,2.604
142,3.925
143,3.668
144,2.983
145,2.930
146,4.258
147,5.371
148,6.168
149,3.854
150,4.274
151,7.035
152,4.487
153,6.369
154,4.751
155,4.322
156,5.334
157,6.848
158,5.969
159,5.235
160,6.064
161,4.363
162,4.070
163,3.968
164,3.837
165,4.460
166,5.766
167,3.865
168,6.036
169,6.663
170,7.034
171,7.471
172,8.015
173,7.885
174,7.130
175,5.555
176,7.263
177,6.040
178,4.403
179,4.418
180,4.780
181,4.689
182,6.125
183,3.372
184,3.205
185,5.029
186,5.078
187,3.607
188,6.114
189,5.829
190,3.540
191,3.880
192,5.665
193,4.812
194,3.613
195,3.609
196,4.680
197,3.662
198,3.739
199,4.995
200,4.922
