iteration,wall_time_ms
1,11319.690
2,11277.300
3,11243.423
4,11266.987
5,11276.493
6,11260.124
7,11239.285
8,11278.493
9,11283.059
10,11260.284
11,11259.535
12,11268.994
13,11259.338
14,11264.690
15,11223.215
16,11295.629
17,11290.958
18,11235.432
19,11281.547
20,11230.019
21,11263.837
22,11268.121
23,11267.731
24,11266.418
25,11223.563
26,11294.019
27,11264.221
28,11290.669
29,11268.820
30,11268.345
31,11239.629
32,11256.294
33,11266.699
34,11264.859
35,11283.081
36,11275.314
37,11255.578
38,11269.012
39,11247.338
40,11276.911
41,11263.891
42,11258.969
43,11316.482
44,11257.096
45,11261.014
46,11255.778
47,11268.037
48,11244.081
49,11248.852
50,11260.357
51,11319.540
52,11279.867
53,11220.114
54,11268.346
55,11244.123
56,11276.259
57,11278.949
58,11269.931
59,11278.931
60,11263.929
61,11261.546
62,11309.512
63,11319.934
64,11288.897
65,11272.991
66,11306.973
67,11276.063
68,11279.846
69,11267.036
70,11281.075
71,11232.293
72,11226.509
73,11277.946
74,11240.311
75,11275.620
76,11284.275
77,11286.034
78,11299.502
79,11206.146
80,11272.897
81,11249.916
82,11258.046
83,11287.767
84,11253.022
85,11252.935
86,11288.964
87,11237.457
88,11279.468
89,11275.688
90,11286.298
91,11265.858
92,11241.491
93,11268.676
94,11298.771
95,11256.928
96,11315.060
97,11272.195
98,11238.651
99,11274.383
100,11272.476
101,11277.935
102,11255.935
103,11278.987
104,11247.347
105,11265.906
106,11275.644
107,11283.603
108,11247.600
109,11267.115
110,11227.517
111,11263.238
112,11229.775
113,11297.358
114,11311.419
115,11248.054
116,11272.913
117,11277.009
118,11259.820
119,11269.271
120,11289.761
121,11264.265
122,11258.570
123,11233.057
124,11275.249
125,11296.643
126,11225.406
127,11242.984
128,11309.447
129,11218.302
130,11239.859
131,11272.669
132,11250.914
133,11277.960
134,11274.976
135,11239.340
136,11237.483
137,11236.530
138,11267.878
139,11239.543
140,11235.993
141,11275.885
142,11301.047
143,11259.894
144,11258.948
145,11268.359
146,11220.755
147,11215.227
148,11260.047
149,11290.524
150,11280.856
151,11257.378
152,11293.411
153,11235.154
154,11237.892
155,11258.983
156,11267.911
157,11223.229
158,11251.305
159,11255.346
160,11238.354
161,11225.545
162,11265.073
163,11231.878
164,11256.904
165,11226.389
166,11226.935
167,11228.668
168,11236.228
169,11238.043
170,11254.863
171,11246.964
172,11230.984
173,11283.524
174,11248.460
175,11283.971
176,11239.439
177,11247.347
178,11233.998
179,11257.630
180,11231.386
181,11246.455
182,11281.055
183,11252.273
184,11237.966
185,11249.873
186,11263.000
187,11227.524
188,11271.204
189,11273.239
190,11243.910
191,11256.930
192,11235.954
193,11240.549
194,11251.095
195,11300.846
196,11277.371
197,11297.564
198,11288.374
199,11251.317
200,11240.216
