iteration,prepare_download_us
1,498969
2,494410
3,492375
4,493822
5,497719
6,492696
7,492755
8,492071
9,494969
10,497688
11,493515
12,496860
13,500738
14,494493
15,493761
16,495418
17,499692
18,491237
19,495759
20,494899
21,491668
22,493987
23,494945
24,494438
25,496461
26,496018
27,494597
28,498184
29,494946
30,492534
31,493982
32,493740
33,496727
34,496362
35,495139
36,496946
37,493758
38,491563
39,493919
40,497852
41,494164
42,497964
43,496052
44,493266
45,497547
46,499853
47,497155
48,491587
49,494264
50,495805
51,492993
52,497067
53,494153
54,491984
55,494753
56,491826
57,493284
58,495635
59,496165
60,492779
61,501918
62,496505
63,498102
64,498177
65,493883
66,498722
67,497085
68,493493
69,493882
70,498064
71,494134
72,495300
73,497198
74,493817
75,491703
76,493735
77,497826
78,494209
79,494095
80,494176
81,493399
82,497116
83,497119
84,491131
85,496700
86,494544
87,500143
88,498428
89,497044
90,492256
91,497703
92,494494
93,495323
94,493288
95,493990
96,492101
97,494308
98,495328
99,496148
100,492452
101,499839
102,495425
103,499078
104,495273
105,496821
106,494160
107,496942
108,495528
109,495790
110,491790
111,493833
112,496267
113,493706
114,494010
115,495101
116,495742
117,494435
118,497908
119,498711
120,496559
121,498689
122,495448
123,496394
124,495175
125,494188
126,492789
127,496729
128,499500
129,491136
130,492046
131,500442
132,497237
133,494628
134,498394
135,492061
136,495303
137,498775
138,494664
139,492231
140,493288
141,493594
142,496022
143,494414
144,496120
145,493767
146,496531
147,492655
148,491733
149,494077
150,497024
151,491081
152,496927
153,493496
154,494493
155,492221
156,497983
157,492149
158,497189
159,492982
160,496209
161,492967
162,492116
163,491803
164,498653
165,496835
166,495762
167,495259
168,500978
169,494782
170,498671
171,497654
172,495208
173,496967
174,492459
175,501556
176,492237
177,493682
178,495837
179,491770
180,495762
181,495969
182,496127
183,492238
184,491796
185,495637
186,495523
187,493238
188,495651
189,492041
190,496237
191,497308
192,493877
193,491582
194,496165
195,498472
196,497922
197,498766
198,491401
199,495680
200,497880
