iteration,wall_time_ms
1,12022.695
2,11974.911
3,12024.971
4,11996.979
5,12010.940
6,11987.500
7,12016.523
8,12026.753
9,12007.040
10,11987.008
11,12000.919
12,11980.308
13,11982.523
14,12012.040
15,11978.354
16,11994.576
17,11988.154
18,12014.108
19,12041.680
20,11995.766
21,11975.488
22,12005.445
23,11971.378
24,11995.668
25,11985.331
26,12012.386
27,12050.055
28,11952.936
29,11991.974
30,12043.054
31,12023.981
32,12016.889
33,11983.294
34,11975.859
35,11969.108
36,12005.935
37,12006.930
38,11970.690
39,12012.917
40,12022.376
41,11969.531
42,11991.481
43,12012.284
44,11967.943
45,12004.993
46,12043.137
47,12013.904
48,11983.358
49,12016.460
50,12006.487
51,12009.232
52,12031.370
53,12004.654
54,11980.340
55,12048.487
56,11980.100
57,11989.911
58,11966.346
59,11934.372
60,12000.451
61,12031.498
62,12025.401
63,11980.988
64,12014.883
65,12013.668
66,11998.959
67,12025.926
68,12063.019
69,12013.904
70,12006.939
71,12022.994
72,12005.928
73,12055.105
74,11999.833
75,12018.012
76,11994.314
77,11996.663
78,11991.818
79,11988.051
80,12015.004
81,12007.940
82,12009.891
83,11971.376
84,12062.523
85,12040.067
86,12014.919
87,12003.024
88,12024.873
89,12027.015
90,11972.932
91,12014.012
92,12010.923
93,11996.306
94,11966.717
95,11972.880
96,11968.843
97,12037.024
98,11985.271
99,12029.877
100,12010.974
101,12003.664
102,12018.402
103,12017.467
104,12040.053
105,11995.082
106,12012.154
107,11955.394
108,11990.099
109,11966.026
110,12025.993
111,11994.459
112,11982.690
113,11990.605
114,11959.004
115,11965.028
116,11966.315
117,12010.975
118,11991.854
119,12038.645
120,11991.034
121,12026.162
122,11999.121
123,11971.935
124,12045.648
125,12012.868
126,12053.301
127,11959.200
128,11978.344
129,12005.006
130,11998.008
131,12007.879
132,12030.055
133,12013.948
134,12014.890
135,11971.558
136,11960.818
137,11998.856
138,11979.926
139,12035.018
140,11971.956
141,12048.564
142,11984.095
143,12044.721
144,12051.074
145,12056.842
146,12033.024
147,11975.404
148,11994.599
149,11976.218
150,12010.915
151,11975.845
152,11987.576
153,12013.951
154,11998.045
155,12003.889
156,12006.954
157,11997.977
158,11997.920
159,12009.114
160,12017.891
161,12021.002
162,12010.045
163,11991.124
164,11950.680
165,11964.269
166,11979.145
167,11991.688
168,12021.627
169,12025.949
170,12031.896
171,11988.008
172,11970.003
173,12043.965
174,11977.878
175,12034.980
176,12027.109
177,12006.842
178,11990.259
179,12068.636
180,12006.106
181,12000.867
182,12022.403
183,12035.832
184,11958.587
185,12045.035
186,12046.869
187,12020.924
188,12014.052
189,12010.322
190,11972.566
191,11991.038
192,11974.875
193,11994.336
194,12008.361
195,11995.194
196,12023.307
197,11989.658
198,12039.836
199,12008.328
200,11985.823
