iteration,prepare_download_us
1,496625
2,496907
3,491489
4,495023
5,496765
6,493542
7,494355
8,497853
9,494982
10,494209
11,495294
12,495439
13,495074
14,497933
15,496799
16,499733
17,497517
18,494140
19,499240
20,496010
21,495155
22,497976
23,494811
24,494437
25,496691
26,493620
27,498429
28,493656
29,498057
30,493259
31,494607
32,497584
33,497801
34,493534
35,493786
36,494169
37,494439
38,496934
39,491230
40,494814
41,495465
42,493278
43,493510
44,494686
45,499487
46,493835
47,496779
48,493598
49,491474
50,492952
51,491584
52,501034
53,499200
54,496037
55,498178
56,494972
57,494902
58,496600
59,491573
60,496590
61,494705
62,497234
63,495718
64,494583
65,492094
66,492003
67,496086
68,498678
69,498648
70,492942
71,496823
72,495628
73,496723
74,497623
75,496879
76,492043
77,500191
78,495441
79,494456
80,493212
81,497676
82,495186
83,493837
84,498283
85,494410
86,493454
87,494725
88,493115
89,500938
90,492344
91,501034
92,493065
93,497072
94,493165
95,497677
96,494830
97,500037
98,492485
99,492447
100,495725
101,493002
102,494266
103,493365
104,497512
105,491333
106,495428
107,495846
108,499535
109,494723
110,494851
111,495244
112,492602
113,492175
114,492007
115,493735
116,491926
117,496172
118,499221
119,498665
120,492057
121,500971
122,496747
123,494665
124,492806
125,491978
126,499254
127,500682
128,492092
129,495162
130,494445
131,496205
132,494943
133,496158
134,491489
135,494525
136,493196
137,491543
138,493618
139,496073
140,491969
141,499835
142,493969
143,498600
144,496822
145,497352
146,494545
147,491153
148,491154
149,491460
150,499660
151,498560
152,492988
153,492377
154,493850
155,493772
156,499467
157,492914
158,493082
159,498913
160,491416
161,493714
162,496672
163,493417
164,494452
165,499772
166,495713
167,502624
168,493156
169,496859
170,494923
171,492639
172,495342
173,498047
174,499448
175,499949
176,495311
177,494915
178,497521
179,495838
180,496996
181,493716
182,495146
183,491245
184,491846
185,495868
186,502054
187,500441
188,495486
189,496899
190,494809
191,491572
192,491227
193,498830
194,494438
195,495463
196,495639
197,499006
198,498878
199,492914
200,453966
